combination,total solving time,wins
06_chPrunedLevels.eprime_kissat,3095975.780000001,
01_compact.eprime_kissat,3103232.5400000075,
05_nochAllLevels_2.eprime_kissat,22439799.799999986,
02_compact.eprime_kissat,3805507.5299999802,
06_chPrunedLevels.eprime_chuffed,1588842.090000002,0.0
01_compact.eprime_chuffed,1591283.9600000104,0.0
05_nochAllLevels_2.eprime_chuffed,22136520.320000008,
02_compact.eprime_chuffed,1122965.4299999971,
06_chPrunedLevels.eprime_or-tools,127341.93000000015,64.0
01_compact.eprime_or-tools,127614.89000000042,69.0
05_nochAllLevels_2.eprime_or-tools,22057492.549999952,
02_compact.eprime_or-tools,222957.35999999984,0.0
06_chPrunedLevels.eprime_cplex,107501.14999999982,137.0
01_compact.eprime_cplex,107745.25999999975,125.0
05_nochAllLevels_2.eprime_cplex,22059370.79000001,
02_compact.eprime_cplex,172095.81000000035,20.0
virtual_best,82230.48000000001,10214.0
